159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,16,17,17,17,17,18,16,17,17,18,16,17,17,18,16,17,17,18,16,17,17,17,17,18,159
159,22,23,23,23,23,35,37,23,23,35,37,23,23,35,37,23,23,35,37,23,23,23,23,38,159
159,22,39,39,39,39,23,23,39,39,23,23,39,39,23,23,39,39,23,23,39,39,39,39,38,159
159,22,0,1,1,2,39,39,0,2,39,39,0,2,39,39,0,2,39,39,0,1,1,2,38,159
159,22,3,4,4,11,1,1,12,11,1,1,12,11,1,1,12,11,1,1,12,4,4,5,35,17
159,22,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,23,23
159,22,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,39,39
159,22,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,32,20
36,37,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159
23,23,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159
39,39,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159
33,34,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,38,159
159,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
