159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,159,159
159,159,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,38,159,159
159,159,22,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,159,159
159,159,22,0,1,1,1,1,1,1,1,1,1,1,1,1,2,38,159,159
159,17,37,3,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159,159
159,23,23,3,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159,159
159,39,39,3,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159,159
159,33,34,3,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159,159
159,159,22,3,4,4,4,4,4,4,4,4,4,4,4,4,5,38,159,159
159,159,22,6,7,7,7,7,7,7,7,7,7,7,7,7,8,38,159,159
159,159,19,20,20,20,20,20,20,4,4,20,20,20,20,20,20,21,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
